Raman_Shift_cm-1,AFG_Expt05_SM_Avg
785.0023,-0.738897678
785.9666,-0.340589875
786.9308,0.674129375
787.895,0.8935035
788.8593,-0.06739505
789.8235,-0.932832925
790.7877,-0.899198775
791.752,-0.0633912
792.7162,0.6158233
793.6804,1.016811525
794.6447,1.133673925
795.6089,0.688155425
796.5731,0.06635975
797.5374,-0.207943725
798.5016,0.13707415
799.4658,0.7176497
800.4301,0.6992819
801.3943,0.426673118
802.3585,0.515119125
803.3228,1.1356712
804.287,2.010350675
805.2512,2.636517375
806.2155,3.024923
807.1797,3.14728875
808.1439,2.7906275
809.1082,2.301809
810.0724,1.84123025
811.0366,1.43931875
812.0009,1.124160925
812.9651,0.9151886
813.9293,0.9378089
814.8936,1.34404155
815.8578,1.892616325
816.822,2.19268125
817.7863,2.01530525
818.7505,1.603796275
819.7147,1.8136254
820.679,2.5413225
821.6432,3.015191
822.6074,3.0376595
823.5717,2.770159875
824.5359,2.431761775
825.5001,1.827034625
826.4644,1.6384818
827.4286,2.05646605
828.3928,2.5510436
829.3571,2.9413527
830.3213,3.19522275
831.2855,3.31007225
832.2498,3.2783505
833.214,3.0333219
834.1782,2.391944625
835.1425,1.545292
836.1067,0.88277585
837.0709,0.66905115
838.0352,0.87141865
838.9994,1.25464725
839.9636,1.877415575
840.9279,2.2956185
841.8921,2.389536113
842.8563,2.2659355
843.8206,2.066625375
844.7848,1.8289537
845.749,1.606806123
846.7133,1.338539325
847.6775,1.0833427
848.6417,0.916593175
849.606,0.8014245
850.5702,0.59825075
851.5344,0.15929565
852.4987,-0.288071625
853.4629,-0.16510315
854.4271,0.3818413
855.3914,0.8941345
856.3556,1.16393225
857.3198,1.23995885
858.2841,1.238610125
859.2483,0.925358575
860.2125,0.8500075
861.1768,1.40712045
862.141,1.963065975
863.1052,1.9199748
864.0695,1.22039265
865.0337,0.5126098
865.9979,0.1055399
866.9622,0.014116025
867.9264,0.4596987
868.8906,1.243406625
869.8549,1.930114775
870.8191,2.175366725
871.7833,2.052520025
872.7476,1.969573125
873.7118,1.938643538
874.676,1.837438975
875.6403,1.595120125
876.6045,1.3148667
877.5687,1.114792785
878.533,0.96582425
879.4972,1.0333184
880.4614,1.729532718
881.4257,2.272347225
882.3899,2.176454158
883.3541,1.55979155
884.3184,0.8499649
885.2826,0.330085825
886.2468,-0.0349846
887.2111,-0.32962484
888.1753,-0.530923423
889.1395,-0.50394585
890.1038,-0.162448885
891.068,0.33144065
892.0322,0.56340875
892.9965,0.49960017
893.9607,0.371589375
894.9249,0.064685075
895.8892,-0.23956675
896.8534,-0.42759015
897.8176,-0.526734185
898.7819,-0.673565008
899.7461,-0.95614005
900.7103,-1.2864275
901.6746,-1.662917053
902.6388,-1.9156083
903.603,-1.771737425
904.5673,-1.138919
905.5315,-0.284087425
906.4957,0.139036575
907.46,-0.1100647
908.4242,-0.156682598
909.3884,0.39458845
910.3527,1.01941995
911.3169,1.231487925
912.2811,1.01689475
913.2454,0.69455125
914.2096,0.1221556
915.1738,-0.401456375
916.1381,-0.93110957
917.1023,-1.32142095
918.0665,-1.233740875
919.0308,-0.507416625
919.995,0.365605213
920.9592,0.376876725
921.9235,-0.192634475
922.8877,-0.525968075
923.8519,-0.556173488
924.8162,-0.42656995
925.7804,-0.17623905
926.7446,0.3142021
927.7089,0.526509955
928.6731,0.183387025
929.6373,-0.0904952
930.6016,-0.22767553
931.5658,-0.33391868
932.53,-0.473511475
933.4943,-0.607392225
934.4585,-0.762782979
935.4227,-1.150177125
936.387,-1.5229867
937.3512,-1.56039655
938.3154,-1.2501855
939.2797,-0.87680347
940.2439,-0.77943875
941.2081,-0.999420725
942.1724,-0.973824225
943.1366,-0.532443975
944.1008,-0.1901513
945.0651,0.079566075
946.0293,0.216197375
946.9935,0.017949625
947.9578,-0.6359086
948.922,-1.2139105
949.8862,-1.601749275
950.8505,-1.71356575
951.8147,-1.218838525
952.7789,-0.34917745
953.7432,0.294999115
954.7074,0.210889575
955.6716,-0.411578375
956.6359,-0.85613715
957.6001,-1.18995075
