Raman_Shift_cm-1,Norway_2-2_Avg
910.3644,45.60096667
911.3287,47.45413667
912.2929,48.04852
913.2571,46.78688333
914.2214,46.02255
915.1856,45.24086667
916.1498,44.69820667
917.1141,44.69212667
918.0783,45.21091667
919.0425,45.91541
920.0068,47.36493667
920.971,48.69644333
921.9352,48.96373
922.8995,48.50228
923.8637,48.06410333
924.8279,48.07631
925.7922,48.18303333
926.7564,47.56522667
927.7206,46.37324667
928.6849,45.58281333
929.6491,44.76718667
930.6133,44.34244667
931.5776,45.25486667
932.5418,47.72592
933.506,48.97765333
934.4703,47.15489667
935.4345,45.92851667
936.3987,46.17367667
937.363,47.10385667
938.3272,47.84512667
939.2914,48.21566333
940.2557,48.78417667
941.2199,50.04196667
942.1841,51.67195667
943.1484,53.64137667
944.1126,56.03144333
945.0768,57.13273667
946.0411,54.33873667
947.0053,47.04237333
947.9695,43.60454
948.9338,46.05391
949.898,49.48481333
950.8622,54.29938333
951.8265,58.87463
952.7907,60.72015
953.7549,58.85214
954.7192,56.51824
955.6834,58.21057
956.6476,61.33264
957.6119,62.91917
958.5761,62.86816333
959.5403,62.36814
960.5046,62.36885
961.4688,62.76071667
962.433,64.92456667
963.3973,71.35725
964.3615,76.27644
965.3257,78.28272667
966.29,78.78702
967.2542,79.28374333
968.2184,79.90733333
969.1827,80.12972667
970.1469,79.18215
971.1111,78.17221
972.0754,77.62148333
973.0396,77.49881667
974.0038,77.71887667
974.9681,78.20987667
975.9323,78.74879333
976.8965,78.51969667
977.8608,77.49055333
978.825,78.26825667
979.7892,81.71132
980.7535,86.34356667
981.7177,90.96396333
982.6819,95.49774
983.6462,99.61983333
984.6104,102.81971
985.5746,106.0964833
986.5389,108.6448233
987.5031,111.8448333
988.4673,117.8117367
989.4316,126.89859
990.3958,136.4884033
991.36,143.5016567
992.3243,149.3824633
993.2885,157.1784667
994.2527,166.4781
995.217,175.6776667
996.1812,183.8878333
997.1454,190.6175667
998.1097,194.5066667
999.0739,195.4481667
1000.038,194.6315667
1001.002,192.1202667
1001.967,189.1044333
1002.931,185.8455
1003.895,181.9928333
1004.859,176.9863667
1005.824,170.2604333
1006.788,162.4076333
1007.752,155.072
1008.716,148.0672
1009.68,140.1699633
1010.645,130.8031933
1011.609,120.9324733
1012.573,112.7261133
1013.537,106.85265
1014.502,101.31935
1015.466,97.35751
1016.43,93.04828667
1017.394,86.09605333
1018.359,77.78176333
1019.323,71.04471
1020.287,66.91299667
1021.251,64.08836333
1022.216,63.58059
1023.18,63.61546333
1024.144,62.05221333
1025.108,58.83292667
1026.072,55.36745
1027.037,52.95965333
1028.001,51.41015667
1028.965,49.35901667
1029.929,47.0057
1030.894,44.59814333
1031.858,41.40382667
1032.822,38.01857333
1033.786,34.97075333
1034.75,32.37831333
1035.715,30.61492667
1036.679,30.72954667
1037.643,31.52801333
1038.607,33.06367333
1039.572,33.97843333
1040.536,32.27330667
1041.5,27.74454
1042.464,22.54371
1043.429,19.37063667
1044.393,18.42355367
1045.357,18.54465333
1046.321,19.61447967
1047.286,20.135221
1048.25,18.99404333
1049.214,17.14387167
1050.178,16.98680133
1051.143,19.52666
1052.107,20.6323
1053.071,17.720273
1054.035,14.91216
1055,13.900856
1055.964,14.233065
1056.928,15.16423267
1057.892,16.42028967
1058.856,17.420515
1059.821,16.68837867
1060.785,14.75304467
1061.749,13.64208067
1062.713,13.68457867
1063.678,14.316351
1064.642,15.44637733
1065.606,16.955805
1066.57,17.063495
1067.535,14.24635267
1068.499,11.5599869
1069.463,9.168279667
1070.427,6.979930333
1071.391,5.062622
1072.356,3.937855333
1073.32,4.557131
1074.284,7.666333667
1075.248,11.49661533
1076.213,13.111492
1077.177,12.67044333
1078.141,10.83698667
1079.105,8.057821
1080.07,5.433651333
1081.034,4.099827833
1081.998,4.0314459
1082.962,3.740990333
1083.927,3.232908
1084.891,2.043236333
1085.855,-0.608830333
1086.819,-2.959569967
1087.783,-3.105038767
