Raman.Shift,Zircon_005,Zircon_006,Zircon_007
581.8022,-0.651044155,-0.5134524,-0.8426983889999999
582.7665,0.9543136999999999,-0.6452144000000002,-0.4888764980000001
583.7307,1.5890817080000001,-1.3228773500000002,-0.11017155299999998
584.6949,0.97789755,-1.14212945,0.334715606
585.6592,-0.05313597000000003,0.482152585,0.8719943179999999
586.6234,-0.6528109049999999,3.098507145,1.4058647089999998
587.5876,-0.33418755499999997,3.742473,0.7902870200000001
588.5519,-0.03567332000000001,3.0604495000000003,-0.624941368
589.5161,-0.28655705,2.8554781,-1.220057019
590.4803,-0.5979063400000001,3.13809465,-0.9000817959999999
591.4446,-0.694551245,3.811824,-0.16224133999999998
592.4088,-0.81402306,4.763954,0.106939133
593.373,-1.658274767,6.063798500000001,-0.655504933
594.3373,-2.44822727,6.41995515,-1.122603315
595.3015,-2.72107675,5.6620372,-0.9714609179999999
596.2657,-2.3415523599999997,4.24139437,-0.807670191
597.23,-1.4191327,2.13115245,-0.979190484
598.1942,-0.5948358920000001,-0.3571520399999999,-1.5055104309999998
599.1584,-0.7255482900000001,-2.0495970000000003,-2.023622138
600.1227,-0.7550855750000001,-1.844406,-2.303790647
601.0869,-0.06282388000000005,-1.0286830999999999,-1.729835911
602.0511,0.363572373,0.11059250000000001,-0.7818876419999999
603.0154,-0.06811668000000004,0.9668821850000001,-0.409252273
603.9796,-1.092447864,1.13264764,-1.210335759
604.9438,-0.67011415,0.5943268749999999,-2.183073153
605.9081,0.5776533500000001,-0.7200095649999998,-2.921117803
606.8723,1.1528347,-1.3463662,-2.484632016
607.8365,0.87019786,-0.3465210000000001,-1.0632974040000003
608.8008,-0.09740552799999991,2.16785265,0.4864300410000002
609.765,-1.2234494750000002,3.9462255500000003,0.744141507
610.7292,-2.26321111,2.1222369,-1.1136252729999998
611.6935,-3.0598641,-0.09179074999999998,-2.169500511
612.6577,-3.85027107,-1.0084,-1.9705713440000001
613.6219,-4.3037801,-0.6937547500000001,-1.483026496
614.5862,-3.73583495,-0.031451549999999995,-1.2779470529999999
615.5504,-1.715849105,-0.2677904,-1.249331423
616.5146,0.5175781049999999,-1.2214844,-0.551546888
617.4789,0.9321847249999999,-0.8180207,0.501460262
618.4431,1.28708498,0.86346585,1.3634018959999998
619.4073,1.7616210730000001,2.94331045,1.525859347
620.3716,1.85335902,4.693984805,0.803408229
621.3358,0.6905798240000001,6.610520350000001,-0.843625153
622.3,0.05400560200000015,7.8223009999999995,-1.31849996
623.2643,0.717595255,7.3822779999999995,-0.3546513419999999
624.2285,1.5800829950000002,6.4373065,0.792035987
625.1927,1.9323181649999999,6.1075798,1.3644531580000003
626.157,1.5926122999999999,6.884473750000001,1.104912622
627.1212,1.089358224,8.2490183,0.43552254
628.0854,0.8419611449999997,9.788825,-0.255007133
629.0497,1.44517502,10.766816949999999,-1.035513393
630.0139,2.91894439,11.08507035,-2.009371767
630.9781,3.8790422,11.167463,-2.756282311
631.9424,3.3679135000000002,11.3481395,-2.915003467
632.9066,1.4728161750000002,11.5667386,-2.366390139
